eta  ,mu  ,layers ,neurons ,offline ,error_function ,train_mean  ,train_std   ,test_mean   ,test_std
0.01 ,0.3 ,     3 ,     16 ,      0 ,             1 ,0.026849    ,0.00258391  ,0.026849    ,0.00258391
0.01 ,0.3 ,     3 ,     16 ,      1 ,             0 ,0.000488758 ,0.000124799 ,0.000488758 ,0.000124799
0.01 ,0.3 ,     3 ,     16 ,      1 ,             1 ,0.0267769   ,0.00251408  ,0.0267769   ,0.00251408
0.01 ,0.3 ,     3 ,     32 ,      0 ,             0 ,0.000521    ,8.42666e-05 ,0.000521    ,8.42666e-05
0.01 ,0.3 ,     3 ,     32 ,      0 ,             1 ,0.0228199   ,0.002526    ,0.0228199   ,0.002526
0.01 ,0.3 ,     3 ,     32 ,      1 ,             0 ,0.00033471  ,2.4334e-05  ,0.00033471  ,2.4334e-05
0.01 ,0.3 ,     3 ,     32 ,      1 ,             1 ,0.0206059   ,0.00032495  ,0.0206059   ,0.00032495
0.01 ,0.3 ,     3 ,     64 ,      0 ,             0 ,0.106467    ,0.212518    ,0.106467    ,0.212518
0.01 ,0.3 ,     3 ,     64 ,      0 ,             1 ,0.115521    ,0.205757    ,0.115521    ,0.205757
0.01 ,0.3 ,     3 ,     64 ,      1 ,             0 ,0.00026317  ,3.37618e-05 ,0.00026317  ,3.37618e-05
0.01 ,0.3 ,     3 ,     64 ,      1 ,             1 ,0.0168249   ,0.00094779  ,0.0168249   ,0.00094779
0.01 ,0.3 ,     4 ,      2 ,      0 ,             0 ,0.49991     ,0.000169527 ,0.49991     ,0.000169527
0.01 ,0.3 ,     4 ,      2 ,      0 ,             1 ,0.693098    ,0.000101879 ,0.693098    ,0.000101879
0.01 ,0.3 ,     4 ,      2 ,      1 ,             0 ,0.500167    ,0.000193116 ,0.500167    ,0.000193116
0.01 ,0.3 ,     4 ,      2 ,      1 ,             1 ,0.693233    ,0.000153745 ,0.693233    ,0.000153745
0.01 ,0.3 ,     4 ,      4 ,      0 ,             0 ,0.496994    ,0.00566431  ,0.496994    ,0.00566431
0.01 ,0.3 ,     4 ,      4 ,      0 ,             1 ,0.69289     ,0.000326485 ,0.69289     ,0.000326485
0.01 ,0.3 ,     4 ,      4 ,      1 ,             0 ,0.500436    ,0.000247802 ,0.500436    ,0.000247802
0.01 ,0.3 ,     4 ,      4 ,      1 ,             1 ,0.693387    ,0.00025729  ,0.693387    ,0.00025729
0.01 ,0.3 ,     4 ,      8 ,      0 ,             0 ,0.00183394  ,0.000538325 ,0.00183394  ,0.000538325
0.01 ,0.3 ,     4 ,      8 ,      0 ,             1 ,0.672109    ,0.0203189   ,0.672109    ,0.0203189
0.01 ,0.3 ,     4 ,      8 ,      1 ,             0 ,0.501333    ,0.000681054 ,0.501333    ,0.000681054
0.01 ,0.3 ,     4 ,      8 ,      1 ,             1 ,0.694299    ,0.00107582  ,0.694299    ,0.00107582
0.01 ,0.3 ,     4 ,     16 ,      0 ,             0 ,0.10082     ,0.200819    ,0.10082     ,0.200819
0.01 ,0.3 ,     4 ,     16 ,      0 ,             1 ,0.161253    ,0.266818    ,0.161253    ,0.266818
0.01 ,0.3 ,     4 ,     16 ,      1 ,             0 ,0.406512    ,0.203047    ,0.406512    ,0.203047
0.01 ,0.3 ,     4 ,     16 ,      1 ,             1 ,0.43088     ,0.331877    ,0.43088     ,0.331877
0.01 ,0.3 ,     4 ,     32 ,      0 ,             0 ,0.000307142 ,4.55818e-05 ,0.000307142 ,4.55818e-05
0.01 ,0.3 ,     4 ,     32 ,      0 ,             1 ,0.152934    ,0.269534    ,0.152934    ,0.269534
0.01 ,0.3 ,     4 ,     32 ,      1 ,             0 ,0.00022801  ,1.88052e-05 ,0.00022801  ,1.88052e-05
0.01 ,0.3 ,     4 ,     32 ,      1 ,             1 ,0.0168738   ,0.000519918 ,0.0168738   ,0.000519918
0.01 ,0.3 ,     4 ,     64 ,      0 ,             0 ,0.000134802 ,2.51976e-05 ,0.000134802 ,2.51976e-05
0.01 ,0.3 ,     4 ,     64 ,      0 ,             1 ,0.130066    ,0.236431    ,0.130066    ,0.236431
0.01 ,0.3 ,     4 ,     64 ,      1 ,             0 ,0.000182315 ,2.06604e-05 ,0.000182315 ,2.06604e-05
0.01 ,0.3 ,     4 ,     64 ,      1 ,             1 ,0.0145265   ,0.00156312  ,0.0145265   ,0.00156312
0.01 ,0.3 ,     5 ,      2 ,      0 ,             0 ,0.499999    ,1.86051e-06 ,0.499999    ,1.86051e-06
0.01 ,0.3 ,     5 ,      2 ,      0 ,             1 ,0.693145    ,3.57198e-06 ,0.693145    ,3.57198e-06
0.01 ,0.3 ,     5 ,      2 ,      1 ,             0 ,0.5003      ,5.96242e-05 ,0.5003      ,5.96242e-05
0.01 ,0.3 ,     5 ,      2 ,      1 ,             1 ,0.69333     ,0.000150719 ,0.69333     ,0.000150719
0.01 ,0.3 ,     5 ,      4 ,      0 ,             0 ,0.499988    ,1.45255e-05 ,0.499988    ,1.45255e-05
0.01 ,0.3 ,     5 ,      4 ,      0 ,             1 ,0.693135    ,3.31486e-05 ,0.693135    ,3.31486e-05
0.01 ,0.3 ,     5 ,      4 ,      1 ,             0 ,0.500669    ,0.000434148 ,0.500669    ,0.000434148
