**********
SEED 1
**********
Running Online Backpropagation...
Iteration 457	 Training error: 1.21889	 Test error: 1.13407
Iteration 458	 Training error: 1.21889	 Test error: 1.13407
Iteration 459	 Training error: 1.21889	 Test error: 1.13407
Iteration 460	 Training error: 1.21889	 Test error: 1.13407
Iteration 461	 Training error: 1.21889	 Test error: 1.13407
Iteration 462	 Training error: 1.21889	 Test error: 1.13407
Iteration 463	 Training error: 1.21889	 Test error: 1.13407
Iteration 464	 Training error: 1.21889	 Test error: 1.13407
Iteration 465	 Training error: 1.21889	 Test error: 1.13407
Iteration 466	 Training error: 1.21889	 Test error: 1.13407
Iteration 467	 Training error: 1.21889	 Test error: 1.13407
Iteration 468	 Training error: 1.21889	 Test error: 1.13407
Iteration 469	 Training error: 1.21889	 Test error: 1.13407
Iteration 470	 Training error: 1.21889	 Test error: 1.13407
Iteration 471	 Training error: 1.21889	 Test error: 1.13407
Iteration 472	 Training error: 1.21889	 Test error: 1.13407
Iteration 473	 Training error: 1.21889	 Test error: 1.13407
Iteration 474	 Training error: 1.21889	 Test error: 1.13407
Iteration 475	 Training error: 1.21889	 Test error: 1.13407
Iteration 476	 Training error: 1.21889	 Test error: 1.13407
Iteration 477	 Training error: 1.21889	 Test error: 1.13407
Iteration 478	 Training error: 1.21889	 Test error: 1.13407
Iteration 479	 Training error: 1.21889	 Test error: 1.13407
